roi,revenue_mln
-88.06232430154839,0.059688378492258026
-79.29686758671232,0.10351566206643836
-51.793709799330955,0.24103145100334525
-40.58802568550179,0.29705987157249103
-51.74824367712002,0.2412587816143999
-74.00395653560562,0.12998021732197185
-13.929333930294007,0.43035333034852996
-21.25342796858316,0.3937328601570842
-69.0306151211779,0.15484692439411055
-81.00590321392005,0.09497048393039977
-56.67818994494975,0.21660905027525124
-27.67095293228692,0.3616452353385654
-51.51109751902763,0.24244451240486187
-45.802328956376414,0.2709883552181179
-65.41020720090881,0.17294896399545592
-48.36043634688186,0.2581978182655907
-20.598355830200553,0.39700822084899723
-66.11399952749262,0.1694300023625369
-56.34419049724815,0.21827904751375926
-53.52508988393807,0.23237455058030962
-52.762108271147,0.23618945864426497
-96.01757336916397,0.019912133154180195
-100.0,0.0
-86.01160895208774,0.06994195523956132
-55.715757770365606,0.22142121114817198
-45.87101617338747,0.27064491913306266
-73.53761632075572,0.13231191839622142
-24.865880539099315,0.3756705973045034
-63.65244832464762,0.18173775837676187
-59.48173473891263,0.20259132630543683
-64.9480579222618,0.17525971038869104
-56.580949164625885,0.21709525417687056
-42.02872260092848,0.2898563869953576
-43.01904495121603,0.28490477524391983
-82.91895256657118,0.08540523716714413
-21.131026110241645,0.39434486944879177
-87.93434840374789,0.06032825798126054
-57.97890270177008,0.21010548649114955
-66.99991258985594,0.16500043705072034
-86.75999176832876,0.06620004115835623
-61.916341529944674,0.1904182923502766
-78.89831054317342,0.10550844728413286
-58.14012134499866,0.20929939327500668
-49.71719486685288,0.2514140256657356
-22.45078140374307,0.38774609298128465
-52.158565851341464,0.23920717074329267
-75.59248317104145,0.12203758414479275
-69.99030129386739,0.15004849353066307
-56.429129946057046,0.21785435026971475
-57.61579516678186,0.2119210241660907
-22.765579892132127,0.38617210053933937
-24.40426199599606,0.3779786900200197
-69.15652873066993,0.15421735634665035
-73.99597265781118,0.1300201367109441
-100.0,0.0
-74.00307176842398,0.1299846411578801
-84.95045168582355,0.0752477415708822
-69.05164433915354,0.1547417783042323
-50.01060606249717,0.24994696968751418
-55.47978752043399,0.2226010623978301
-60.76448997570261,0.19617755012148697
-54.908619615088924,0.22545690192455534
-63.21729013344366,0.18391354933278167
-54.9740068228705,0.22512996588564746
-100.0,0.0
-66.86973188139679,0.16565134059301606
-62.82782451665834,0.18586087741670831
-68.70565602567821,0.15647171987160896
-65.55985362507504,0.17220073187462479
-42.05841536207321,0.28970792318963395
-75.25778906481698,0.12371105467591513
-3.859640326093672,0.48070179836953164
-42.441404841273254,0.2877929757936337
-60.160899258006935,0.1991955037099653
-65.27199753055017,0.17364001234724918
-62.207201183217734,0.18896399408391135
-83.34967015163211,0.08325164924183946
-62.428636205561475,0.18785681897219267
-52.89072661410575,0.23554636692947123
